Species;Width;Height;Weight
Bream;4,02;11,52;242
Bream;43,056;12,48;290
Bream;46,961;123,778;340
Bream;44,555;12,73;363
Bream;5,134;12,444;430
Bream;49,274;136,024;450
Bream;52,785;141,795;500
Bream;4,69;12,67;390
Bream;48,438;140,049;450
Bream;49,594;142,266;500
Bream;51,042;142,628;475
Bream;48,146;143,714;500
Bream;4,368;137,592;500
Bream;50,728;139,129;340
Bream;51,708;149,544;600
Bream;5,58;15,438;600
Bream;52,854;148,604;700
Bream;51,975;14,938;700
Bream;51,338;15,633;610
Bream;57,276;144,738;650
Bream;55,695;151,285;575
Bream;53,704;159,936;685
Bream;52,801;155,227;620
Bream;61,306;154,686;680
Bream;5,589;162,405;700
Bream;60532;16,36;725
Bream;6,09;163,618;720
Bream;58,515;16,517;714
Bream;61,984;168,896;850
Bream;6,603;18,957;1000
Bream;63,063;180,369;920
Bream;6,292;18,084;955
Bream;67,497;187,542;925
Bream;67,473;186,354;975
Bream;63,705;176,235;950
Roach;2,268;41,472;40
Roach;28,217;52,983;69
Roach;29,044;55,756;78
Roach;31,746;56,166;87
Roach;35,742;6,216;120
Roach;33,516;64,752;0
Roach;33,957;61,677;110
Roach;32,943;61,146;120
Roach;37,544;58,045;150
Roach;35,478;66,339;145
Roach;38,203;70,334;160
Roach;3,325;6,55;140
Roach;3,8;6,4;160
Roach;38,352;75,344;169
Roach;36,312;69,153;161
Roach;41,272;73,968;200
Roach;3,906;70,866;180
Roach;44,968;88,768;290
Roach;47,736;8,568;272
Roach;5,355;9,485;390
Whitefish;42,476;83,804;270
Whitefish;42,485;81,454;270
Whitefish;46,816;8,778;306
Whitefish;6,562;10,744;540
Whitefish;65,736;117,612;800
Whitefish;6,525;12,354;1000
Parkki;23,265;68,475;55
Parkki;23,142;65,772;60
Parkki;2,673;74,052;90
Parkki;29,181;83,922;120
Parkki;32,928;88,928;150
Parkki;32,944;85,376;140
Parkki;34,104;9,396;170
Parkki;31,571;97,364;145
Parkki;36,636;103,458;200
Parkki;4,144;11,088;273
Parkki;4,234;11,368;300
Perch;1,408;2,112;5.9
Perch;19,992;3,528;32
Perch;2,432;3,824;40
Perch;26,316;45,924;51.5
Perch;29,415;4,588;70
Perch;33,216;52,224;100
Perch;31,234;51,992;78
Perch;30,502;56,358;80
Perch;30,368;51,376;85
Perch;2,772;5,082;85
Perch;3,555;56,925;110
Perch;33,075;59,175;115
Perch;36,675;56,925;125
Perch;3,534;6,384;130
Perch;34,075;6,11;120
Perch;3,525;5,64;120
Perch;3,525;6,11;130
Perch;3,525;5,875;135
Perch;3,995;55,225;110
Perch;3,624;5,856;130
Perch;3,624;6,792;150
Perch;3,63;59,532;145
Perch;3,626;52,185;150
Perch;3,725;6,275;170
Perch;3,723;7,293;225
Perch;3,825;6,375;145
Perch;41,658;67,334;188
Perch;36,835;64,395;180
Perch;4,239;6,561;197
Perch;4,144;7,168;218
Perch;51,373;8,323;300
Perch;4,335;71,672;260
Perch;4,335;70,516;265
Perch;45,662;72,828;250
Perch;42,042;78,204;250
Perch;46,354;75,852;300
Perch;47,716;76,156;320
Perch;6,018;10,03;514
Perch;63,875;102,565;556
Perch;77,957;114,884;840
Perch;6,864;10,881;685
Perch;67,408;106,091;700
Perch;62,646;10,835;700
Perch;63,666;105,717;690
Perch;74,934;111,366;900
Perch;6,003;111,366;650
Perch;73,514;124,313;820
Perch;71,064;119,286;850
Perch;7,225;11,73;900
Perch;74,624;123,808;1015
Perch;6,63;11,135;820
Perch;68,684;128,002;1100
Perch;72,772;119,328;1000
Perch;74,165;125,125;1100
Perch;8,142;12,604;1000
Perch;75,958;124,888;1000
Pike;33,756;5,568;200
Pike;4,158;57,078;300
Pike;43,844;59,364;300
Pike;40,198;62,884;300
Pike;45,765;7,29;430
Pike;3,977;6,396;345
Pike;43,225;7,28;456
Pike;4,459;6,825;510
Pike;51,296;7,786;540
Pike;4,896;6,96;500
Pike;4,87;7,792;567
Pike;5,376;7,68;770
Pike;61,712;89,262;950
Pike;69,849;106,863;1250
Pike;6,144;9,6;1600
Pike;6,144;9,6;1550
Pike;7,48;10,812;1650
Smelt;10,476;17,388;6.7
Smelt;1,16;1,972;7.5
Smelt;11,484;17,284;7
Smelt;1,38;2,196;9.7
Smelt;12,772;20,832;9.8
Smelt;12,852;19,782;8.7
Smelt;12,838;22,139;10
Smelt;11,659;22,139;9.9
Smelt;11,484;22,044;9.8
Smelt;13,936;20,904;12.2
Smelt;1,269;2,43;13.4
Smelt;12,558;2,277;12.2
Smelt;20,672;28,728;19.7
Smelt;18,792;29,322;19.9
